# Arquivo: resgates.csv (4.316 resgates)
# Cliente_ID,Premio,Data_Resgate,Operacao,Status,Observacoes
1,Açaí Premium 500ml,2018-06-15 10:30:00,WEB,resgatado,
2,Açaí com Granola,2018-08-20 14:45:00,PDV,resgatado,Cliente preferencial
3,Tampa para Açaí,2018-12-10 16:20:00,WEB,resgatado,
4,Açaí Premium 500ml,2019-03-15 09:30:00,APP,resgatado,
5,Combo Açaí + Suco,2019-07-20 11:15:00,PDV,resgatado,
6,Açaí com Banana e Morango,2019-11-25 13:45:00,WEB,resgatado,
7,Copinho Açaí,2020-02-18 10:20:00,APP,resgatado,
8,Açaí Duplo,2020-06-10 15:30:00,PDV,resgatado,
9,Topping Premium,2020-09-25 12:15:00,WEB,resgatado,
10,Açaí Premium 500ml,2021-01-15 14:40:00,APP,resgatado,
11,Açaí com Granola,2021-05-20 11:25:00,PDV,resgatado,
12,Tampa para Açaí,2021-08-30 16:50:00,WEB,resgatado,
13,Açaí Premium 500ml,2021-12-05 10:10:00,APP,resgatado,
14,Combo Açaí + Suco,2022-04-10 13:20:00,PDV,resgatado,
15,Açaí com Banana e Morango,2022-08-15 15:45:00,WEB,resgatado,
16,Copinho Açaí,2022-11-20 09:30:00,APP,resgatado,
17,Açaí Duplo,2023-03-25 12:40:00,PDV,resgatado,
18,Topping Premium,2023-07-18 14:15:00,WEB,resgatado,
19,Açaí Premium 500ml,2023-10-30 11:55:00,APP,resgatado,
20,Açaí com Granola,2024-02-14 16:25:00,PDV,resgatado,
21,Tampa para Açaí,2024-06-20 10:40:00,WEB,resgatado,
22,Açaí Premium 500ml,2024-09-25 13:35:00,APP,resgatado,
23,Combo Açaí + Suco,2024-12-10 15:50:00,PDV,resgatado,
24,Açaí com Banana e Morango,2025-03-15 09:20:00,WEB,resgatado,
25,Copinho Açaí,2025-06-20 12:45:00,APP,resgatado,
26,Açaí Duplo,2025-08-15 14:10:00,PDV,resgatado,
27,Topping Premium,2025-10-30 16:30:00,WEB,resgatado,
28,Açaí Premium 500ml,2025-11-05 11:15:00,APP,resgatado,
29,Açaí com Granola,2025-11-10 13:40:00,PDV,resgatado,
30,Tampa para Açaí,2025-11-15 15:25:00,WEB,resgatado,
31,Açaí Premium 500ml,2025-11-20 09:50:00,APP,resgatado,
32,Combo Açaí + Suco,2025-11-25 12:05:00,PDV,resgatado,
33,Açaí com Banana e Morango,2025-11-28 14:35:00,WEB,resgatado,
34,Copinho Açaí,2025-11-29 16:20:00,APP,resgatado,
35,Açaí Duplo,2025-11-30 10:45:00,PDV,resgatado,
36,Topping Premium,2025-11-30 13:10:00,WEB,resgatado,
37,Açaí Premium 500ml,2025-11-30 15:55:00,APP,resgatado,
